COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
ASIALANG,105,First Semester Korean,New Sogang Korean 1A workbook,'9788976995735'
ASIALANG,305,Fifth Semester Korean,New Sogang Korean 3A student book,'9788992491396'
ASIALANG,405,Seventh Semester Korean,Sogang Korean 4A: Student Book,'9788992491846'
ASIALANG,405,Seventh Semester Korean,Sogang Korean 4A: Workbook,'9788992491914'
CS&D,854,Electroacous & Instr Calibratn,Signals and Systems for Speech and Hearing,'9789004252431'
ENGL,314,Structure of English,An introduction to the grammar of English. Revised edition.,'9789027211682'
GERMAN,245,Topics-Dutch Life & Culture,The Dutch and their Delta. Living Below Sea Level,'9789055947881'
SCAND ST,111,First Semester Swedish,"Rivstart A1 + A2 Textbook, second edition",'9789127434202'
SCAND ST,111,First Semester Swedish,"Rivstart A1 & A2 Workbook, second edition",'9789127434219'
SCAND ST,211,Second Year Swedish,Rivstart B1+B2 Textbok,'9789127434233'
SCAND ST,211,Second Year Swedish,Rivstart B1+B2 Ovningsbok,'9789127434240'
E M A,541,Heterogeneous&Multiphase Mtrls,Composites and metamaterials,'9789811216367'
HIST SCI,350,Spec Topics-Hist of Science,Our Bodies Belong to God,'9789812387028'
AMER IND,172,Literatures of Native America,House Made of Dawn,'9790061859977'
INTL BUS,313,Prof Comm&Cultr in Franc World,Bienvenue dans le nouveau monde,'9791094841419'
SPANISH,460,Literatura Hispanoamericana,La sangre de la aurora,'9874544821'
